,Название,Сайт,status,Адрес,площадь объекта,coords,longitude,latitude,rating,Класс:
852, БЦ Grand Setun Plaza,https://www.arendator.ru/objects/9196-grand_setun_plaza-1/,torg_office_cntr,"г. Москва, ЗАО, Можайский, Горбунова улица 2",75462.0,"[55.724961, 37.3971612]",37.3971612,55.724961,50.0,B+
853, БЦ Ленинградский 72,https://www.arendator.ru/objects/9238-leningradskij_72/,torg_office_cntr,"г. Москва, САО, Сокол, Ленинградский проспект 72 корп.4",8300.0,"[55.804617, 37.5153275]",37.5153275,55.804617,50.0,B
854, Офисное здание на Большой Никитской 17/2,https://www.arendator.ru/objects/7458-na_bolshoj_nikitskoj_172/,torg_office_cntr,"г. Москва, ЦАО, Пресненский, Никитская Б. улица 17/2",2000.0,"[55.756667, 37.603257]",37.603257,55.756667,50.0,A
855, БЦ Yauza Plaza 2,https://www.arendator.ru/objects/8982-yauza_plaza_2-1/,torg_office_cntr,"г. Москва, ЦАО, Басманный, Радио улица 24 корп.2",8230.0,"[55.762511, 37.683525]",37.683525,55.762511,50.0,B+
856, БЦ Чайка Плаза 7,https://www.arendator.ru/objects/7358-chajka_plaza_7/,torg_office_cntr,"г. Москва, ЦАО, Тверской, Новослободская улица 41",11267.0,"[55.78334899999999, 37.5969229]",37.5969229,55.78334899999999,50.0,A
857, БЦ Вниинефтемаш,https://www.arendator.ru/objects/9114-vniineftemash/,torg_office_cntr,"г. Москва, ЮАО, Даниловский, Рощинский 4-й проезд 19",10000.0,"[55.7055956, 37.6117291]",37.6117291,55.7055956,50.0,B+
858, БЦ Бакунинский,https://www.arendator.ru/objects/9056-bakuninskij/,torg_office_cntr,"г. Москва, ЦАО, Басманный, Бакунинская улица 71Б 10",26000.0,"[55.779842, 37.691955]",37.691955,55.779842,50.0,B
859," Бизнес-парк Орджоникидзе, 11",https://www.arendator.ru/objects/9163-ordzhonikidze_11/,torg_office_cntr,"г. Москва, ЮАО, Донской, Орджоникидзе улица 11",50000.0,"[55.7063861, 37.5962942]",37.5962942,55.7063861,50.0,B
860, Деловой квартал STONE Towers,https://www.arendator.ru/objects/49864-stone_towers/,torg_office_cntr,"г. Москва, САО, Беговой, Бумажный проезд 19",60000.0,"[55.78981599999999, 37.5860789]",37.5860789,55.78981599999999,50.0,A
861, Офисное здание Мамоновский 4,https://www.arendator.ru/objects/7255-mamonovskij_4/,torg_office_cntr,"г. Москва, ЦАО, Тверской, Мамоновский переулок 4",1000.0,"[55.76581729999999, 37.5981695]",37.5981695,55.76581729999999,50.0,B
862, БЦ iCity,https://www.arendator.ru/objects/49827-icity/,torg_office_cntr,"г. Москва, ​Шмитовский  вл37",138000.0,"[55.7555621, 37.5307462]",37.5307462,55.7555621,50.0,A
863, БЦ Victory Plaza,https://www.arendator.ru/objects/9152-victory_plaza/,torg_office_cntr,"г. Москва, САО, Хорошевский, Викторенко улица 5 стр.1",31014.0,"[55.79921299999999, 37.5294836]",37.5294836,55.79921299999999,50.0,A
864, Офисное здание на Никитском 5,https://www.arendator.ru/objects/7306-na_nikitskom_5/,torg_office_cntr,"г. Москва, ЦАО, Арбат, Никитский бульвар 5",13000.0,"[55.75347499999999, 37.600115]",37.600115,55.75347499999999,50.0,A
865, БЦ Вавилова 47а,https://www.arendator.ru/objects/9445-vavilova_47a/,torg_office_cntr,"г. Москва, ЮЗАО, Академический, Вавилова улица 47А стр.1",4000.0,"[55.69295899999999, 37.56674]",37.56674,55.69295899999999,50.0,B
866," БЦ Савелкинский проезд, 4",https://www.arendator.ru/objects/8646-savelkinskij_proezd_4/,torg_office_cntr,"г. Москва, Зеленоград, Савелки, Савелкинский проезд 4",25000.0,"[55.9911299, 37.2172575]",37.2172575,55.9911299,50.0,B+
867, Коворкинг GrowUp Москва,https://www.arendator.ru/objects/32913-growup_moskva/,torg_office_cntr,"г. Москва, САО, Войковский, Космонавта Волкова улица 6А",,"[55.815296, 37.5127351]",37.5127351,55.815296,50.0,
868, Офисное здание Новая Рига,https://www.arendator.ru/objects/8797-novaya_riga-1/,torg_office_cntr,"г. Москва, Проезд 607  3 стр.2",6798.0,"[55.78856099999999, 37.398018]",37.398018,55.78856099999999,50.0,A
869, БЦ Лихоборы,https://www.arendator.ru/objects/9343-lihobory-1/,torg_office_cntr,"г. Москва, Лихачевский 2-ой  1 стр.11",5000.0,"[55.845685, 37.524219]",37.524219,55.845685,50.0,B
870, БЦ Gorky Park Tower,https://www.arendator.ru/objects/9331-gorky_park_tower-2/,torg_office_cntr,"г. Москва, ЮАО, Донской, Ленинский проспект 15А",33350.0,"[55.7208305, 37.6007949]",37.6007949,55.7208305,50.0,A
