,name,link,status,adress,square,coords,longitude,latitude,rating,Класс:
325,ТорговыйцентрТроицкий,https://roomfi.ru/torgovye-tsentry/51033-torgovyy-tsentr-troitskiy/,torg_cntr,"Москва, Таллинская улица, 7",3000.0,"[55.8004269, 37.395998]",37.395998,55.8004269,50.0,Not_defined
326,ТорговыйцентрНежино,https://roomfi.ru/torgovye-tsentry/51342-torgovyy-tsentr-nezhino/,torg_cntr,"Москва, Нежинская улица, 6к1",1931.0,"[55.7096692, 37.4710884]",37.4710884,55.7096692,50.0,Not_defined
327,ТорговыйцентрЛайм,https://roomfi.ru/torgovye-tsentry/51114-torgovyy-tsentr-laym/,torg_cntr,"Москва, Щёлковское шоссе, 27А",3164.0,"[55.8101591, 37.7791777]",37.7791777,55.8101591,50.0,Not_defined
328,МногофункциональныйкомплексКонвентПлюс,https://roomfi.ru/torgovye-tsentry/51608-mnogofunktsionalnyy-kompleks-konvent-plyus/,torg_cntr,"Москва, Багратионовский проезд, 7к20Б",450.0,"[55.7446359, 37.5081999]",37.5081999,55.7446359,50.0,Not_defined
329,ТорговыйцентрАрма,https://roomfi.ru/torgovye-tsentry/51555-torgovyy-tsentr-arma/,torg_cntr,"Москва, Нижний Сусальный переулок, 5с1",45000.0,"[55.759992, 37.6626081]",37.6626081,55.759992,50.0,Not_defined
330,ТорговыйцентрАнино,https://roomfi.ru/torgovye-tsentry/51088-torgovyy-tsentr-anino/,torg_cntr,"Москва, Варшавское шоссе, 143А",9079.0,"[55.584249, 37.598982]",37.598982,55.584249,50.0,Not_defined
331,ТорговыйцентрМетрквадратный,https://roomfi.ru/torgovye-tsentry/51026-torgovyy-tsentr-metr-kvadratnyy/,torg_cntr,"Москва, Волгоградский проспект, 32к25",13822.0,"[55.7241, 37.689117]",37.689117,55.7241,50.0,Not_defined
332,ТорговыйцентрМосМарт-2,https://roomfi.ru/torgovye-tsentry/51262-torgovyy-tsentr-mosmart-2/,torg_cntr,"Москва, Дмитровское шоссе, 116Д",26000.0,"[55.903288, 37.5452391]",37.5452391,55.903288,50.0,Not_defined
333,ТорговыйцентрКони-Айленд,https://roomfi.ru/torgovye-tsentry/51191-torgovyy-tsentr-koni-aylend/,torg_cntr,"Москва, Профсоюзная улица, 109к2",7200.0,"[55.633356, 37.5207837]",37.5207837,55.633356,50.0,Not_defined
334,ТорговыйцентрDiFrontedelacasa,https://roomfi.ru/torgovye-tsentry/51110-torgovyy-tsentr-di-fronte-de-la-casa/,torg_cntr,"Москва, Большая Грузинская улица, 69",31000.0,"[55.7738616, 37.5862504]",37.5862504,55.7738616,50.0,Not_defined
335,ТорговыйцентрТвинстор,https://roomfi.ru/torgovye-tsentry/51254-torgovyy-tsentr-tvinstor/,torg_cntr,"Москва, 1-й Щипковский переулок, 4",8100.0,"[55.72199, 37.6328081]",37.6328081,55.72199,50.0,Not_defined
336,ТорговыйцентрХЦЛейпциг,https://roomfi.ru/torgovye-tsentry/51547-torgovyy-tsentr-khts-leyptsig/,torg_cntr,"Москва, улица Академика Варги, 8к1",54000.0,"[55.630905, 37.475021]",37.475021,55.630905,50.0,Not_defined
337,СпециализированныйторговыйцентрАзбукавкуса,https://roomfi.ru/torgovye-tsentry/51226-spetsializirovannyy-torgovyy-tsentr-azbuka-vkusa/,torg_cntr,"Москва, Кутузовский проспект, 36с6",54000.0,"[55.7385293, 37.5255562]",37.5255562,55.7385293,50.0,Not_defined
338,ТорговыйцентрДарья,https://roomfi.ru/torgovye-tsentry/51150-torgovyy-tsentr-darya/,torg_cntr,"Москва, Строгинский бульвар, 1",12000.0,"[55.8059995, 37.3955562]",37.3955562,55.8059995,50.0,Not_defined
339,Торгово-развлекательныйцентрМаркос-Молл,https://roomfi.ru/torgovye-tsentry/51371-torgovo-razvlekatelnyy-tsentr-markos-moll/,torg_cntr,"Москва, Алтуфьевское шоссе, 70к1",42000.0,"[55.8485542, 37.583099]",37.583099,55.8485542,50.0,Not_defined
340,ТорговыйцентрСтолицаЗябликово,https://roomfi.ru/torgovye-tsentry/51428-torgovyy-tsentr-stolitsa-zyablikovo/,torg_cntr,"Москва, Кустанайская улица, 6",9500.0,"[55.619619, 37.7521428]",37.7521428,55.619619,50.0,Not_defined
341,Торгово-развлекательныйцентрПринц,https://roomfi.ru/torgovye-tsentry/51078-torgovo-razvlekatelnyy-tsentr-prints/,torg_cntr,"Москва, улица Каховка, 29А",130000.0,"[55.656356, 37.569596]",37.569596,55.656356,50.0,Not_defined
